province,cities_reg,poorpeople_percentage,reg_gdp,life_exp,avg_schooltime,exp_percap,cluster,label_cluster,skor_pembangunan,target_kategori_pembangunan
Aceh,Simeulue,18.98,2.275,65.24,9.48,7148,0,Pembangunan Sedang,0.47051280055209677,Rendah
Aceh,Aceh Singkil,20.36,2.425,67.355,8.68,8776,0,Pembangunan Sedang,0.4881568338781644,Rendah
Aceh,Aceh Selatan,13.18,5.531,64.36,8.88,8180,0,Pembangunan Sedang,0.4974536082004705,Rendah
Aceh,Aceh Tenggara,13.41,5.063,68.155,9.67,8030,0,Pembangunan Sedang,0.5536106467227219,Sedang
Aceh,Aceh Timur,14.45,10.616,68.705,8.21,8577,0,Pembangunan Sedang,0.5279849250722084,Rendah
Aceh,Aceh Tengah,15.26,7.389,68.79,9.86,10780,0,Pembangunan Sedang,0.5875864025416941,Sedang
Aceh,Aceh Barat,18.81,8.116,67.945,9.55,9593,0,Pembangunan Sedang,0.5339016937079368,Rendah
Aceh,Aceh Besar,14.05,13.336,69.745,10.33,9644,0,Pembangunan Sedang,0.6019409407064137,Sedang
Aceh,Pidie,19.59,10.76,66.9,9.0,9860,0,Pembangunan Sedang,0.5086198955365884,Rendah
Aceh,Bireuen,13.25,13.09,71.2,9.29,8867,0,Pembangunan Sedang,0.5906675892483332,Sedang
Aceh,Aceh Utara,17.43,19.695,68.755,8.64,8201,0,Pembangunan Sedang,0.514275244774119,Rendah
Aceh,Aceh Barat Daya,16.34,3.92,65.015,8.67,8428,0,Pembangunan Sedang,0.4831366980609192,Rendah
Aceh,Gayo Lues,19.64,2.695,65.475,8.4,8856,0,Pembangunan Sedang,0.4667059446186633,Rendah
Aceh,Aceh Tamiang,13.34,7.513,69.565,8.91,8367,0,Pembangunan Sedang,0.5573123414672884,Sedang
Aceh,Nagan Raya,18.23,7.674,69.215,8.69,8292,0,Pembangunan Sedang,0.5165361732272165,Rendah
Aceh,Aceh Jaya,13.23,2.626,67.14,8.71,9666,0,Pembangunan Sedang,0.5429771637103273,Rendah
Aceh,Bener Meriah,19.16,4.522,69.205,10.0,11118,0,Pembangunan Sedang,0.5746899543370064,Sedang
Aceh,Pidie Jaya,19.55,3.476,70.145,9.34,10290,0,Pembangunan Sedang,0.5578024467782898,Sedang
Aceh,Kota Banda Aceh,7.61,18.288,71.47,12.83,16891,1,Pembangunan Tinggi,0.8078725320722278,Tinggi
Aceh,Kota Sabang,15.32,1.533,70.505,11.18,11378,1,Pembangunan Tinggi,0.6427028301513675,Tinggi
Aceh,Kota Langsa,10.96,5.279,69.385,11.12,12067,1,Pembangunan Tinggi,0.6653355009020315,Tinggi
Aceh,Kota Lhokseumawe,11.16,8.918,71.61,11.11,11390,1,Pembangunan Tinggi,0.6800822975717119,Tinggi
Aceh,Kota Subulussalam,17.65,1.804,64.025,8.03,7385,2,Pembangunan Rendah,0.43667387791027357,Rendah
Sumatera Utara,Nias,16.82,4.041,69.745,5.64,6995,0,Pembangunan Sedang,0.4482915285517639,Rendah
Sumatera Utara,Mandailing Natal,9.49,13.843,62.605,8.63,9771,0,Pembangunan Sedang,0.5159235742843191,Rendah
Sumatera Utara,Tapanuli Selatan,8.8,14.642,64.935,9.29,11304,0,Pembangunan Sedang,0.5799294685569514,Sedang
Sumatera Utara,Tapanuli Tengah,12.67,10.139,67.18,8.84,10138,0,Pembangunan Sedang,0.5557605127789379,Sedang
Sumatera Utara,Tapanuli Utara,9.72,8.274,68.71,9.99,11710,1,Pembangunan Tinggi,0.6364813494691971,Tinggi
Sumatera Utara,Toba Samosir,8.99,7.845,70.21,10.57,12224,1,Pembangunan Tinggi,0.6769668106882426,Tinggi
